hit_id,ch0,ch1,value
1,75,695,0.273036
2,218,777,0.316162
3,179,605,0.224628
4,248,758,0.326977
5,34,1124,0.13451
5,35,1124,0.122136
6,23,1134,0.0883736
6,23,1133,0.188775
7,318,976,0.211917
7,318,975,0.107603
8,68,738,0.31952
9,76,696,0.296563
10,196,496,0.354417
11,57,593,0.276015
12,172,952,0.313428
13,177,584,0.305333
14,94,1206,0.236674
14,94,1207,0.0554049
15,172,1012,0.318969
16,313,449,0.309399
17,8,840,0.3206
18,139,568,0.26828
19,266,959,0.053661
19,266,958,0.218257
20,5,901,0.0256854
20,5,903,0.118941
20,5,902,0.158049
20,4,901,0.0162389
21,105,163,0.276806
22,176,306,0.221046
22,176,305,0.0736137
23,90,967,0.144532
23,90,966,0.120148
24,189,509,0.189838
24,190,508,0.0469492
24,189,508,0.0407422
25,314,1014,0.12278
25,315,1015,0.0824511
25,314,1015,0.0949913
26,324,807,0.161633
26,324,806,0.12725
27,236,574,0.18815
27,236,573,0.114618
28,209,872,0.205543
28,209,873,0.00122079
28,209,871,0.00983022
28,210,873,0.0169083
28,208,871,0.0859358
29,286,238,0.281942
30,16,1007,0.297796
31,248,910,0.00533298
31,248,909,0.314691
32,149,1262,0.0438858
32,148,1262,0.0837082
32,148,1261,0.175735
33,109,775,0.289603
34,51,973,0.264339
34,50,973,0.00602661
35,235,511,0.260079
35,235,510,0.068036
36,15,484,0.291775
37,253,713,0.298577
38,328,771,0.309844
39,325,557,0.00236735
39,324,557,0.141442
39,325,558,0.212313
40,139,803,0.340044
41,20,749,0.326145
42,316,657,0.333943
43,257,707,0.306596
44,251,601,0.226822
44,251,602,0.0652609
45,138,455,0.157938
45,138,454,0.139924
46,65,1167,0.161343
46,66,1167,0.116739
47,145,701,0.313382
48,218,437,0.192317
48,218,436,0.115282
49,3,949,0.361514
50,40,1146,0.200886
50,40,1147,0.0672381
51,190,779,0.328126
52,154,806,0.311179
53,304,979,0.02712
53,304,978,0.266007
54,298,554,0.278816
55,309,590,0.342422
56,303,264,0.230112
57,48,815,0.336791
58,170,1126,0.0948827
58,170,1123,0.0807839
58,170,1124,0.0951054
58,170,1127,0.056756
58,170,1125,0.0797696
59,140,287,0.334606
60,171,290,0.128604
60,171,291,0.199848
61,155,96,0.29591
62,68,245,0.151156
62,68,244,0.137656
63,49,602,0.297946
64,291,916,0.0141475
64,291,915,0.352197
65,46,434,0.337482
66,37,707,0.286846
67,292,670,0.211141
67,293,670,0.0628018
68,266,456,0.299136
69,109,599,0.35781
70,104,562,0.344335
71,332,1252,0.314719
72,176,955,0.282799
73,50,510,0.334955
74,32,713,0.283542
75,216,628,0.31719
76,206,619,0.283256
77,105,666,0.31802
78,97,781,0.284661
79,36,983,0.284625
80,310,777,0.133661
80,310,778,0.211084
81,98,1248,0.17472
81,98,1247,0.143581
82,186,453,0.0702319
82,186,452,0.244121
83,119,974,0.324239
84,83,260,0.238178
85,236,134,0.0761988
85,236,135,0.190695
86,122,995,0.329367
87,322,389,0.271039
88,29,137,0.336609
89,329,1251,0.206862
89,329,1250,0.0792787
90,278,553,0.191987
90,278,552,0.122098
91,146,214,0.107995
91,146,215,0.197048
92,38,785,0.320546
93,213,153,0.0313831
93,213,154,0.0561212
93,212,154,0.252671
94,247,1135,0.302293
